ID	order	tax	f2	f3	f4	NCBI	Source	Reference
Penicillium_36997	1	Penicillium_36997	Yes	Yes	Yes	No	0	0
86a9b8a55479938e1b6b804cd653155b	2	F_chlamydosporum_86a9b	Yes	No	Yes	No	0	0
2bc5d4320e54797a39359dc0676cf450	3	F_chlamydosporum_2bc5d	No	Yes	Yes	No	0	0
18922236506583e7320e776be6c2463a	4	F_nematophilum_18922	Yes	No	Yes	No	0	0
38bad4cf4a320d649be0d854b3cf98be	5	Fusarium_solani_38bad	No	Yes	No	No	0	0
4be810915c915c3f6f34bb4fedab9ad0	6	Fusarium_solani_4be81	Yes	Yes	Yes	No	0	0
579e5bbf5706c28209744c33484c4b8c	7	Fusarium_solani_579e5	No	Yes	Yes	No	0	0
Fusarium_solani_KC808235.1	8	Fusarium_solani_KC808235.1	NA	NA	NA	Yes	Unknown	O'Donnell_et_al.,_2013
18ff3ee57c402652b7156ed14071d0ab	9	Fusarium_solani_18ff3	Yes	Yes	Yes	No	0	0
Fusarium_solani_NR_163531	10	Fusarium_solani_NR_163531	NA	NA	NA	Yes	Potato_tuber	Schroers_et_al.,_2016
Fusarium_solani_MH582400.1	11	Fusarium_solani_MH582400.1	NA	NA	NA	Yes	River_sediment	O'Donnell_et_al.,_2018
Fusarium_solani_ON248242	12	Fusarium_solani_ON248242	NA	NA	NA	Yes	Unknown	Wang_&_Wang,_2022,_NCBI
Fusarium_solani_KJ437432.1	13	Fusarium_solani_KJ437432.1	NA	NA	NA	Yes	Soybean	Chitrampalam_&_Nelson_Jr,_2015
Fusarium_solani_MW805303.1	14	Fusarium_solani_MW805303.1	NA	NA	NA	Yes	0	0
Fusarium_solani_DQ094771.1	15	Fusarium_solani_DQ094771.1	NA	NA	NA	Yes	Red_clover	Zhang_et_al.,_2006
Fusarium_solani_HQ651165.1	16	Fusarium_solani_HQ651165.1	NA	NA	NA	Yes	Grevillea_robusta	Njuguna_et_al.,_2010,_NCBI
33be679a5c7b7bff076243989c33712f	17	Fusarium_solani_33be6	Yes	Yes	No	No	0	0
ee297847e00487e7f148dc495efc4ebe	18	Fusarium_solani_ee297	No	Yes	Yes	No	0	0
a992aa1cc0c433a9e86e33cbc0489c4b	19	Fusarium_solani_a992a	No	Yes	Yes	No	0	0
5ae8bbf464d292ab3b75086ef4ff2fb1	20	Fusarium_solani_5ae8b	Yes	Yes	No	No	0	0
d3ab276830b02edd6977f850f0ef8caa	21	Fusarium_solani_d3ab2	Yes	Yes	No	No	0	0
adba26ac34bc5a82de3fd3fb5efbd33e	22	Fusarium_solani_adba2	Yes	Yes	No	No	0	0
de3ca8116321fa3b3ecaa5fc40c08cc5	23	Fusarium_solani_de3ca	Yes	Yes	No	No	0	0
45c35d69f417bd7d4cbe61dd5a0f083e	24	Fusarium_solani_45c35	Yes	Yes	Yes	No	0	0
b0155a887805143545218ffe760eda06	25	Fusarium_solani_b0155	No	Yes	Yes	No	0	0
2bf8231073721bfc54aa8ebeb6912a20	26	Fusarium_solani_2bf82	Yes	Yes	No	No	0	0
1b0539acdc7399feee3aaebdd5e61067	27	Fusarium_solani_1b053	Yes	Yes	Yes	No	0	0
71d1bd285cdf78ebfd3ef9d9c9a40241	28	Fusarium_solani_71d1b	Yes	No	Yes	No	0	0
d8fc54bcadbf7fcc5cd3d7c2bf678f8f	29	Fusarium_solani_d8fc5	Yes	Yes	Yes	No	0	0
939f95ffa67d45b18f810411c9e35571	30	Fusarium_solani_939f9	Yes	No	Yes	No	0	0
75e58ea69a10ad870d4811cf0d4fdb61	31	Fusarium_solani_75e58	Yes	No	No	No	0	0
071be45c44bec0f49b498f73b15dd3d2	32	Fusarium_solani_071be	No	Yes	Yes	No	0	0
8e2824f6a1b188b220b9361c612674b6	33	Fusarium_solani_8e282	Yes	No	Yes	No	0	0
79a7291065adc3f595551e420369acde	34	Fusarium_solani_79a72	Yes	No	Yes	No	0	0
f9714344beb252703d97bed4752ae788	35	Fusarium_solani_f9714	No	Yes	No	No	0	0
af7a6845c73f4a26d0abf34aef9a2a64	36	Fusarium_solani_af7a6	No	Yes	Yes	No	0	0
b663b0cd551ba980221251a789b6e206	37	Fusarium_solani_b663b0	Yes	No	Yes	No	0	0
0c5de29041b1bcfe2010ba9bde32f320	38	Fusarium_solani_0c5de	No	Yes	Yes	No	0	0
fd6ff46f1b85f9ed17f80fe98868119c	39	Fusarium_solani_fd6ff	Yes	Yes	Yes	No	0	0
a692aae1c416358d582103d64b3774f2	40	Fusarium_solani_a692a	Yes	Yes	Yes	No	0	0
Fusarium_virguliforme_AY730901.1	41	Fusarium_virguliforme_AY730901.1	NA	NA	NA	Yes	Soybean	Aoki_et_al.,_2005
